universidade;codigo;area_avaliacao;area_basica;situacao;nota;nota_mestrado;situacao_mestrado;codigo_mestrado;nota_doutorado;situacao_doutorado;codigo_doutorado;cep;cidade
UNIVERSIDADE ESTADUAL DO PARANÁ;AMBIENTES LITORÂNEOS E INSULARES (40076016009P5);CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;EM FUNCIONAMENTO;A;Nota A;EM FUNCIONAMENTO;CÓDIDO - 40076016009M5;Não disponível;Não disponível;Não disponível;87701020;Paranavaí
UNIVERSIDADE DE BRASÍLIA;ARTES VISUAIS (53001010040P5);ARTES;ARTES;EM FUNCIONAMENTO;5;Nota 5;EM FUNCIONAMENTO;CÓDIDO - 53001010040D6;Nota 5;EM FUNCIONAMENTO;CÓDIDO - 53001010040M5;70910901;Brasília
UNIVERSIDADE FEDERAL DE MATO GROSSO;COMPUTAÇÃO APLICADA (50001019179P1);COMPUTAÇÃO;METODOLOGIA E TÉCNICAS DA COMPUTAÇÃO;EM FUNCIONAMENTO;A;Nota A;EM FUNCIONAMENTO;CÓDIDO - 50001019179M1;Não disponível;Não disponível;Não disponível;78060900;Cuiabá
UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;DIREITO (41016017006P8);DIREITO;DIREITOS ESPECIAIS;EM FUNCIONAMENTO;4;Nota 4;EM FUNCIONAMENTO;CÓDIDO - 41016017006M8;Não disponível;Não disponível;Não disponível;89809000;Chapecó
UNIVERSIDADE FEDERAL DE MINAS GERAIS;GEOTECNIA E TRANSPORTES (32001010086P2);ENGENHARIAS I;ENGENHARIA CIVIL;EM FUNCIONAMENTO;3;Nota 3;EM FUNCIONAMENTO;CÓDIDO - 32001010086M2;Não disponível;Não disponível;Não disponível;31270901;Belo Horizonte
UNIVERSIDADE FEDERAL DA BAHIA;ADMINISTRAÇÃO (28001010020P3);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM FUNCIONAMENTO;4;Nota 4;EM FUNCIONAMENTO;CÓDIDO - 28001010020D4;Nota 4;EM FUNCIONAMENTO;CÓDIDO - 28001010020M3;40110903;Salvador
INSTITUTO BRASILEIRO DE ENSINO, DESENVOLVIMENTO E PESQUISA DE BRASÍLIA;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS (53019016006P0);CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS;CIÊNCIA POLÍTICA;EM FUNCIONAMENTO;A;Nota A;EM FUNCIONAMENTO;CÓDIDO - 53019016006F3;Não disponível;Não disponível;Não disponível;70200670;Brasília
UNIVERSIDADE FEDERAL DE UBERLÂNDIA;ADMINISTRAÇÃO (32006012020P3);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM FUNCIONAMENTO;5;Nota 5;EM FUNCIONAMENTO;CÓDIDO - 32006012020M3;Nota 5;EM FUNCIONAMENTO;CÓDIDO - 32006012020D4;38408100;Uberlândia
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ADMINISTRAÇÃO (42001013025P1);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM FUNCIONAMENTO;6;Nota 6;EM FUNCIONAMENTO;CÓDIDO - 42001013025D2;Nota 6;EM FUNCIONAMENTO;CÓDIDO - 42001013025M1;90040060;Porto Alegre
INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA;CIÊNCIAS BIOLÓGICAS (BOTÂNICA) (12002011002P3);BIODIVERSIDADE;BOTÂNICA;EM FUNCIONAMENTO;4;Nota 4;EM FUNCIONAMENTO;CÓDIDO - 12002011002D4;Nota 4;EM FUNCIONAMENTO;CÓDIDO - 12002011002M3;69067375;Manaus
